"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:CPI(5.0.0)","USA.CPI.CP12.YOY_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Miscellaneous goods and services","Period average, Year-over-year (YOY) percent change","Annual","Units","2.126008089948179","2.573263911476409","3.885647860854656","3.551218140075063","3.631369130862455","3.04519619004818","2.122341046299493","1.206018871759225","6.910729897542861","6.091952278315842","8.326775925011835",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP09.YOY_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Recreation and culture","Period average, Year-over-year (YOY) percent change","Annual","Units","-0.1050362648905071","0.02375352150114021","0.3683412520612804","0.8242371897011442","0.03175470597359376","0.7961584901698851","1.110668044693644","2.602582944453558","4.633376059190758","3.602402051189766","0.7846380845076272",""
"IMF.STA:CPI(5.0.0)","USA.CPI._T.POP_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Annual","Units","1.622222977408174","0.1186271355524506","1.261583205705358","2.130110003659612","2.442583296928166","1.812210075260205","1.233584396306293","4.697858863637421","8.00279982052121","4.116338383744878","2.949525204852073",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP03.POP_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Clothing and footwear","Period average, Period-over-period percent change","Annual","Units","0.4872721162731949","0.3260596940055179","0.1666666666666","2.454242928452647","0.8201380430369793","-0.9020618556700706","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP03.YOY_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Clothing and footwear","Period average, Year-over-year (YOY) percent change","Annual","Units","0.4872721162731949","0.3260596940055179","0.1666666666666","2.454242928452647","0.8201380430369793","-0.9020618556700706","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP03.IX.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Clothing and footwear","Index","Annual","Units","99.675","100","100.1666666666666","102.625","103.4666666666667","102.5333333333334","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP02.IX.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Alcoholic beverages, tobacco and narcotics","Index","Annual","Units","97.94166666666668","99.99166666666665","101.4416666666666","105.925","110.5333333333333","114.4333333333333","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP02.YOY_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Alcoholic beverages, tobacco and narcotics","Period average, Year-over-year (YOY) percent change","Annual","Units","4.480398257622899","2.093082617204087","1.450120843403567","4.419617185574701","4.35056250491697","3.528347406513873","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP01.POP_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Food and non-alcoholic beverages","Period average, Period-over-period percent change","Annual","Units","-0.1944264419960144","-2.589285714285681","-2.366469460878312","2.184859605701125","2.079679278376326","1.341842578955916","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP05.YOY_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Furnishings, household equipment and routine household maintenance","Period average, Year-over-year (YOY) percent change","Annual","Units","0.8406186953597813","0.03334444814936979","-0.09166666666668","2.594044540829107","1.666666666666732","0.8956417433026464","","","","","",""
"IMF.STA:CPI(5.0.0)","GBR.HICP.CP10.POP_PCH_PA_PT.A","OBS_VALUE","United Kingdom","Harmonised index of consumer prices (HICP)","Education","Period average, Period-over-period percent change","Annual","Units","10.20326823435635","8.47197106690776","4.74285237976164","3.827789272640425","2.889553153981789","3.046781883194248","","","","","",""
